,AVG_MXL,AVG_LMAT,AVG_AGEMAT,AVG_LONGY,AVG_FECUND,AVG_EGGSIZE,AVG_RGUILD,AVG_Troph
Squalius_pyrenaicus,255,20,2,7,3667.395408,1.6,1,Omnivore
Squalius_cephalus,633.33,171,3,15,74475,1.37,1,Omnivore
Alburnus_alburnus,220,75.75,1.88,8,6250,1.38,1,Invertivore
Leucaspius_delineatus,90,36.7,1,2.5,641.67,1.07,3,Omnivore
Scardinius_erythrophthalmus,507.5,72.67,2.33,18,177500,1.36,1,Omnivore
Vimba_vimba,466.67,167.5,4,15,102500,1.36,1,Omnivore
Ballerus_ballerus,450,150,3.25,12.5,51734,1.5,1,Herbivore-detritivore
Ballerus_sapa,350,95,3.5,15,22500,1.75,1,Invertivore
Leuciscus_idus,720,113.33,5.33,18.67,93250,1.94,1,Omnivore
Leuciscus_leuciscus,400,162.5,2.5,15.5,15000,1.45,1,Omnivore
Leuciscus_aspius,933.33,200,4,11,127979.5,1.45,1,Piscivore
Notemigonus_crysoleucas,300,60,2,9,125572.5,1.02,2,Omnivore
Pachychilon_pictum,170,52.28169177,1.825291347,6.453457806,5086.344417,1.276838196,1,Omnivore
Gila_nigra,405,100,3,13,22862.5,1.4,1,Omnivore
Gila_nigrescens,240,182.5,2,8,4000,1.569208783,1,Invertivore-piscivore
Lepidomeda_mollispinis,150,55,1,3,11880,1.9,1,Omnivore
Meda_fulgida,91,52,1,3,975,1.35,1,Invertivore
Semotilus_atromaculatus,300,65,1.5,7,4327,1.55,4,Invertivore-piscivore
Semotilus_corporalis,510,75,2.5,9,6500,2.16,4,Invertivore-piscivore
Cyprinella_lutrensis,90,45.5,1.5,3,842.5,1.15,4,Omnivore
Cyprinella_spiloptera,120,42.5,1.5,5,7474,1.2,4,Omnivore
Cyprinella_analostana,110,47,1.5,4,2004.5,1.5,4,Omnivore
Pimephales_vigilax,89,50,1,5,710,1.1,4,Omnivore
Pimephales_notatus,110,49.75,1,4,2650,1.06,4,Omnivore
Pimephales_promelas,100,55,1.15,6,5382,1,4,Omnivore
Notropis_simus,100,55.25,1,3,1885,0.88,1,Omnivore
Notropis_blennius,130,77,2.5,5,2450,0.78,1,Invertivore
Hybognathus_nuchalis,180,73,1.5,3,4500,0.9,1,Herbivore-detritivore
Hybognathus_regius,120,87,1.5,3,4300,1,1,Herbivore-detritivore
Hybognathus_placitus,130,43,1,2,2275.5,1,1,Herbivore-detritivore
Notropis_stramineus,81,46,1.5,3,1405,0.81,1,Omnivore
Notropis_procne,72,39,2,3,2500,0.85,2,Omnivore
Notropis_rubellus,90,71.5,1.5,3,966,1.1,2,Omnivore
Notropis_jemezanus,75,42.56629361,1,2,366.550902,1.5,1,Invertivore
Notropis_atherinoides,130,56,1.5,5,4800.5,0.85,1,Invertivore
Notropis_amoenus,110,47,1,4,636.5,1.01,2,Invertivore
Notropis_wickliffi,78,33.06055287,1.280691144,3.294095552,1077.814299,0.874199327,1.590090471,Omnivore
Notropis_girardi,80,24,1.5,4,2129,0.68,1,Invertivore
Notropis_photogenis,140,62,1.5,3,4500,1.02,1,Invertivore
Ericymba_buccata,98,61.5,1.5,4,825,0.78,1,Omnivore
Luxilus_cornutus,180,55.5,2,9,2170,1.25,4,Omnivore
Luxilus_chrysocephalus,180,67,2,6,1025,1.24,4,Omnivore
Notropis_hudsonius,150,67,1.5,5,4499,0.95,1,Omnivore
Agosia_chrysogaster,100,55,1,3,1100,1.65,1,Omnivore
Phenacobius_mirabilis,120,90,2,5,1240,1.28,1,Invertivore
Macrhybopsis_aestivalis,76,53.25,1,1.5,677.5,0.8,1,Invertivore
Macrhybopsis_storeriana,230,105,1.5,4,6524.78,1.4,1,Invertivore
Nocomis_micropogon,320,108.5,3,5,700,1.25,4,Omnivore
Campostoma_anomalum,220,94.5,2.5,5,2475,1.7,2,Herbivore-detritivore
Rhinichthys_cataractae,178,75,2,5,1140.5,1.6,2,Invertivore
Rhinichthys_osculus,110,58.5,2,3,491,1.5,1,Invertivore
Rhinichthys_atratulus,100,72,2,4,4757.5,1.5,2,Omnivore
Rhinichthys_cobitis,65,45,1,2,804,1.28,2,Invertivore
Exoglossum_maxillingua,160,95,2.5,5,761,2,4,Invertivore
Clinostomus_funduloides,110,63,1.5,5,559,1.13,1,Invertivore
Phoxinus_phoxinus,140,50,2,8,2290,1.35,1,Omnivore
Phoxinus_bigerri,81,34.30609722,1.32733917,4.291955113,648.1296564,1.264027509,1.464877517,Invertivore
Tinca_tinca,745,227.67,3.5,26.67,430000,1.03,1,Omnivore
Romanogobio_vladykovi,145,40,2,6,2000,1.5,1,Invertivore
Gobio_gobio,200,67.9,2,8.5,6272.5,1.52,1,Invertivore
Pseudorasbora_parva,123,34.5,1,5,2235,1.42,3,Omnivore
Rhodeus_amarus,97.5,32.5,1,5.1,114.5,2.8,5,Omnivore
Rhodeus_sericeus,105,36.67,2.33,5,126,2.81,2,Omnivore
Hypophthalmichthys_nobilis,1276.67,608.33,4.5,20.33,1233458.33,2.43,1,Herbivore-detritivore
Hypophthalmichthys_molitrix,1087.5,573.33,2.83,12,512500,1.17,1,Herbivore-detritivore
Ctenopharyngodon_idella,1466.67,600,6,20.67,916666.67,1.38,1,Herbivore-detritivore
Luciobarbus_graellsii,725,175,4,16,17000,1.957897339,1,Omnivore
Barbus_barbus,1000,280,4.5,16,36400,2.17,1,Invertivore
Barbus_haasi,300,25,1,8.42945265,5000,1.520781655,1,Invertivore
Barbus_meridionalis,267,67.48412438,2.5,8.841433601,23185,1.265814602,1,Omnivore
Carassius_auratus,562.5,132.17,2.5,14.67,217833.33,1.48,2,Omnivore
Carassius_gibelio,433.33,138.75,2,27.5,261666.67,1.11,1,Omnivore
Carassius_carassius,563.33,95,2.25,12.5,61935.5,1.39,1,Omnivore
Cyprinus_carpio,1230,420,3.63,36.75,887750,1.3,1,Omnivore
Barbatula_barbatula,183.33,55.5,2,7,3785.67,0.8,1,Invertivore
Cobitis_elongatoides,139.5,70,2,5.5,1000,1.1,1,Invertivore
Cobitis_taenia,142.5,53,1,5,1225,1.78,1,Invertivore
Misgurnus_fossilis,350,83,2,10,115000,1.8,1,Invertivore
Catostomus_insignis,800,300,4,15,12500,3.25,1,Herbivore-detritivore
Catostomus_commersonii,640,342,2.75,17,80000,2.41,1,Omnivore
Catostomus_plebeius,200,125,3,7,2035,2.381932315,1,Omnivore
Catostomus_clarkii,330,120,2.5,15,11000,3.2,1,Herbivore-detritivore
Minytrema_melanops,500,317.5,3,8,40000,2.45,1,Invertivore
Moxostoma_duquesnii,510,230,4.5,10,9304.5,2.4,1,Invertivore
Moxostoma_anisurum,740,404.5,6,14,25625,1.2,1,Invertivore
Moxostoma_macrolepidotum,750,365,4,14,26631,1.85,1,Invertivore
Moxostoma_breviceps,391,390,4,8,20250,3.2,1,Invertivore
