"sYNGEO_ID","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013"
1624,-0.474999999999998,-0.366666666666666,-0.0666666666666641,0.350000000000003,0.06666666666667,0.633333333333337,-0.299999999999995,-2.875,0.100000000000003,-0.749999999999996,-0.774999999999997
1631,-2.06666666666666,-2.00833333333333,-1.775,-1.275,-1.68333333333333,-1.16666666666666,-1.975,-4.59166666666666,-1.54166666666666,-2.45833333333333,-2.50833333333333
1633,-1.78333333333333,-1.675,-1.41666666666666,-0.95833333333333,-1.26666666666666,-0.699999999999998,-1.6,-4.225,-1.2,-2.08333333333333,-2.10833333333333
1635,-2.86666666666666,-2.78333333333333,-2.58333333333333,-2.05,-2.49166666666666,-1.95,-2.75833333333333,-5.39166666666666,-2.35833333333333,-3.275,-3.31666666666666
1636,-2.86666666666666,-2.78333333333333,-2.58333333333333,-2.05,-2.49166666666666,-1.95,-2.75833333333333,-5.39166666666666,-2.35833333333333,-3.275,-3.31666666666666
1643,-1.80833333333333,-1.75833333333333,-1.525,-1.01666666666666,-1.45,-0.924999999999997,-1.725,-4.35833333333333,-1.35,-2.25,-2.3
1644,-2.59166666666666,-2.48333333333333,-2.26666666666666,-1.75,-2.15,-1.625,-2.44166666666666,-5.10833333333333,-2.03333333333333,-2.95833333333333,-2.98333333333333
1645,-2.61666666666666,-2.54166666666666,-2.3,-1.79166666666666,-2.2,-1.66666666666666,-2.49166666666666,-5.16666666666667,-2.09166666666666,-3,-3.04166666666666
1657,-2.73333333333333,-2.63333333333333,-2.46666666666666,-1.925,-2.41666666666666,-1.875,-2.61666666666666,-5.30833333333333,-2.25833333333333,-3.225,-3.24166666666666
1658,-2.73333333333333,-2.63333333333333,-2.46666666666666,-1.925,-2.41666666666666,-1.875,-2.61666666666666,-5.30833333333333,-2.25833333333333,-3.225,-3.24166666666666
1482,0.633333333333336,0.775000000000002,1.125,1.5,1.425,2.04166666666667,1.05833333333334,-1.11666666666666,1.45833333333334,0.758333333333335,0.683333333333335
1483,1.43333333333334,1.58333333333334,1.81666666666667,2.20833333333334,2.19166666666667,2.74166666666667,1.78333333333333,-0.233333333333331,2.20833333333334,1.49166666666667,1.475
1500,0.316666666666668,0.441666666666669,0.775000000000003,1.14166666666667,1.075,1.65833333333334,0.650000000000003,-1.50833333333333,1.06666666666667,0.358333333333336,0.308333333333338
1501,0.316666666666668,0.441666666666669,0.775000000000003,1.14166666666667,1.075,1.65833333333334,0.650000000000003,-1.50833333333333,1.06666666666667,0.358333333333336,0.308333333333338
1508,0.350000000000003,0.458333333333337,0.775000000000003,1.15833333333334,1.09166666666667,1.675,0.666666666666668,-1.5,1.09166666666667,0.358333333333336,0.333333333333336
1510,0.483333333333335,0.608333333333336,0.916666666666669,1.3,1.24166666666667,1.81666666666667,0.808333333333337,-1.325,1.24166666666667,0.525000000000003,0.500000000000002
1517,0.150000000000003,0.29166666666667,0.616666666666669,0.991666666666668,0.883333333333337,1.45833333333334,0.483333333333338,-1.75,0.866666666666669,0.19166666666667,0.100000000000004
1528,0.108333333333336,0.26666666666667,0.566666666666669,0.941666666666671,0.808333333333335,1.425,0.433333333333335,-1.825,0.816666666666668,0.166666666666668,0.0333333333333362
1256,2.34166666666667,2.51666666666667,2.675,3.15,3.29166666666667,3.6,2.70833333333334,1.05,3.19166666666667,2.44166666666667,2.52500000000001
1278,1.8,2,2.16666666666667,2.69166666666667,2.83333333333334,3.1,2.26666666666667,0.533333333333336,2.69166666666667,2,1.95833333333334
1284,1.8,2,2.16666666666667,2.69166666666667,2.83333333333334,3.1,2.26666666666667,0.533333333333336,2.69166666666667,2,1.95833333333334
1287,1.55833333333334,1.75,1.925,2.425,2.59166666666667,2.86666666666667,2.025,0.31666666666667,2.475,1.76666666666667,1.725
1291,1.8,2,2.16666666666667,2.69166666666667,2.83333333333334,3.1,2.26666666666667,0.533333333333336,2.69166666666667,2,1.95833333333334
1297,1.825,2.01666666666667,2.20833333333334,2.725,2.86666666666667,3.125,2.29166666666667,0.550000000000002,2.70833333333334,2.025,2
1313,1.81666666666667,2.025,2.19166666666667,2.69166666666667,2.85833333333334,3.125,2.29166666666667,0.508333333333336,2.7,2.03333333333334,1.96666666666667
1323,2.125,2.31666666666667,2.50833333333334,2.95833333333334,3.05,3.39166666666667,2.5,0.808333333333337,3.01666666666667,2.26666666666667,2.29166666666667
1326,2.14166666666667,2.34166666666667,2.51666666666667,3.01666666666667,3.14166666666667,3.45,2.58333333333334,0.79166666666667,3.025,2.325,2.29166666666667
1327,1.825,2.05,2.21666666666667,2.71666666666667,2.825,3.13333333333334,2.29166666666667,0.49166666666667,2.71666666666667,2.025,1.975
1328,2.14166666666667,2.34166666666667,2.51666666666667,3.01666666666667,3.14166666666667,3.45,2.58333333333334,0.79166666666667,3.025,2.325,2.29166666666667
1331,2.2,2.40833333333334,2.58333333333334,3.075,3.19166666666667,3.49166666666667,2.65833333333334,0.833333333333336,3.1,2.39166666666667,2.34166666666667
1332,2.2,2.40833333333334,2.58333333333334,3.075,3.19166666666667,3.49166666666667,2.65833333333334,0.833333333333336,3.1,2.39166666666667,2.34166666666667
1333,2.36666666666667,2.53333333333334,2.74166666666667,3.2,3.26666666666667,3.63333333333334,2.725,1.00833333333334,3.24166666666667,2.475,2.525
1335,2,2.225,2.38333333333334,2.88333333333334,2.975,3.3,2.46666666666667,0.641666666666669,2.89166666666667,2.175,2.14166666666667
1337,2.36666666666667,2.53333333333334,2.74166666666667,3.2,3.26666666666667,3.63333333333334,2.725,1.00833333333334,3.24166666666667,2.475,2.525
1342,2.48333333333334,2.68333333333334,2.875,3.36666666666667,3.45,3.8,2.925,1.11666666666667,3.38333333333334,2.66666666666667,2.63333333333334
1343,1.98333333333334,2.18333333333334,2.4,2.85,2.94166666666667,3.3,2.41666666666667,0.633333333333336,2.89166666666667,2.16666666666667,2.15833333333334
1350,2.56666666666667,2.70833333333334,2.91666666666667,3.36666666666667,3.45833333333334,3.8,2.9,1.19166666666667,3.40833333333334,2.65833333333334,2.70833333333334
1361,1.80833333333334,2.00833333333334,2.225,2.66666666666667,2.75,3.125,2.24166666666667,0.400000000000003,2.71666666666667,1.99166666666667,1.94166666666667
1368,2.15833333333333,2.34166666666667,2.575,2.99166666666667,3.08333333333334,3.46666666666667,2.55833333333334,0.758333333333336,3.05833333333334,2.29166666666667,2.31666666666667
1406,2.23333333333334,2.39166666666667,2.65833333333334,3.09166666666667,3.11666666666667,3.56666666666667,2.625,0.71666666666667,3.1,2.36666666666667,2.325
1124,3.75833333333334,3.91666666666667,4.06666666666667,4.575,4.725,4.99166666666667,4.06666666666667,2.56666666666667,4.54166666666667,3.85833333333334,3.93333333333334
1126,3.39166666666667,3.525,3.7,4.2,4.35,4.63333333333334,3.70000000000001,2.2,4.16666666666667,3.49166666666667,3.55
1128,3.75833333333334,3.91666666666667,4.06666666666667,4.575,4.725,4.99166666666667,4.06666666666667,2.56666666666667,4.54166666666667,3.85833333333334,3.93333333333334
1132,3.4,3.525,3.68333333333334,4.2,4.35,4.63333333333334,3.70000000000001,2.19166666666667,4.14166666666667,3.48333333333334,3.55
1146,3.05833333333334,3.20833333333334,3.36666666666667,3.9,4.04166666666667,4.325,3.41666666666667,1.875,3.85833333333334,3.21666666666667,3.25833333333334
1149,2.925,3.09166666666667,3.25833333333334,3.78333333333334,3.91666666666667,4.2,3.29166666666667,1.78333333333334,3.73333333333334,3.1,3.13333333333334
1150,2.925,3.09166666666667,3.25833333333334,3.78333333333334,3.91666666666667,4.2,3.29166666666667,1.78333333333334,3.73333333333334,3.1,3.13333333333334
1152,2.925,3.09166666666667,3.25833333333334,3.78333333333334,3.91666666666667,4.2,3.29166666666667,1.78333333333334,3.73333333333334,3.1,3.13333333333334
1154,1.96666666666667,2.14166666666667,2.3,2.83333333333334,3.01666666666667,3.24166666666667,2.39166666666667,0.825000000000002,2.775,2.125,2.175
1173,2.29166666666667,2.49166666666667,2.64166666666667,3.13333333333334,3.3,3.575,2.7,1.09166666666667,3.125,2.45,2.49166666666667
1177,2.125,2.28333333333334,2.46666666666667,2.96666666666667,3.11666666666667,3.38333333333334,2.50833333333334,0.925000000000002,2.95833333333334,2.25,2.325
1184,1.93333333333334,2.14166666666667,2.29166666666667,2.81666666666667,2.96666666666667,3.19166666666667,2.35833333333334,0.750000000000004,2.78333333333334,2.1,2.14166666666667
1245,1.68333333333334,1.88333333333334,2.05833333333334,2.55,2.65833333333334,2.96666666666667,2.08333333333334,0.450000000000003,2.58333333333334,1.825,1.86666666666667
1279,1.93333333333334,2.16666666666667,2.33333333333334,2.79166666666667,2.91666666666667,3.225,2.35,0.683333333333337,2.86666666666667,2.08333333333334,2.14166666666667
1280,1.93333333333334,2.16666666666667,2.33333333333334,2.79166666666667,2.91666666666667,3.225,2.35,0.683333333333337,2.86666666666667,2.08333333333334,2.14166666666667
1104,2.275,2.44166666666667,2.60833333333334,3.19166666666667,3.33333333333334,3.475,2.68333333333334,1.10833333333334,3.11666666666667,2.44166666666667,2.49166666666667
1123,2.05,2.19166666666667,2.35,2.90833333333334,3.06666666666667,3.25833333333334,2.45833333333334,0.875000000000003,2.81666666666667,2.15833333333333,2.25
1127,1.9,2.05833333333334,2.23333333333334,2.76666666666667,2.93333333333333,3.13333333333334,2.33333333333334,0.758333333333335,2.69166666666667,2.025,2.125
1141,1.90833333333334,2.04166666666667,2.23333333333334,2.75,2.95,3.13333333333334,2.31666666666667,0.733333333333335,2.69166666666667,2.03333333333334,2.10833333333333
1196,4.35833333333334,4.5,4.675,5.25,5.45833333333334,5.53333333333334,4.70833333333333,3.225,5.13333333333334,4.49166666666667,4.56666666666667
1229,4.36666666666667,4.51666666666667,4.7,5.26666666666667,5.46666666666667,5.54166666666667,4.725,3.23333333333334,5.15833333333334,4.50833333333334,4.575
1240,4.05000000000001,4.2,4.36666666666667,4.95,5.14166666666667,5.225,4.4,2.90833333333334,4.825,4.19166666666667,4.25
1340,4.05000000000001,4.2,4.36666666666667,4.95,5.14166666666667,5.225,4.4,2.90833333333334,4.825,4.19166666666667,4.25
1429,3.8,3.94166666666667,4.13333333333334,4.69166666666667,4.89166666666667,4.975,4.15,2.65,4.58333333333333,3.95,4
1440,3.59166666666667,3.75,3.91666666666667,4.5,4.675,4.78333333333334,3.96666666666667,2.43333333333334,4.375,3.73333333333334,3.79166666666667
1096,4.81666666666667,4.94166666666667,5.1,5.71666666666667,5.89166666666667,5.925,5.15833333333334,3.65833333333334,5.55,4.94166666666667,5.00833333333334
1318,4.00833333333334,4.13333333333334,4.30833333333334,4.89166666666667,5.06666666666667,5.15833333333334,4.36666666666667,2.84166666666667,4.775,4.14166666666667,4.20833333333334
1362,4.00833333333334,4.13333333333334,4.30833333333334,4.89166666666667,5.06666666666667,5.15833333333334,4.36666666666667,2.84166666666667,4.775,4.14166666666667,4.20833333333334
1451,3.625,3.74166666666667,3.91666666666667,4.53333333333334,4.675,4.775,3.98333333333334,2.44166666666667,4.41666666666667,3.775,3.83333333333334
1529,3.2,3.35,3.50833333333334,4.1,4.23333333333334,4.375,3.59166666666667,2.04166666666667,4.00833333333334,3.36666666666667,3.40833333333333
1540,3.2,3.35,3.50833333333334,4.1,4.23333333333334,4.375,3.59166666666667,2.04166666666667,4.00833333333334,3.36666666666667,3.40833333333333
1551,3.2,3.35,3.50833333333334,4.1,4.23333333333334,4.375,3.59166666666667,2.04166666666667,4.00833333333334,3.36666666666667,3.40833333333333
1684,3.00833333333334,3.175,3.325,3.925,4.08333333333334,4.19166666666667,3.4,1.83333333333333,3.83333333333334,3.19166666666667,3.23333333333334
1180,1.375,1.575,1.73333333333334,2.25833333333334,2.43333333333334,2.625,1.83333333333334,0.175000000000002,2.24166666666667,1.55833333333334,1.55
1208,1.725,1.90833333333334,2.08333333333334,2.625,2.775,3,2.2,0.491666666666669,2.6,1.93333333333333,1.90833333333334
1213,1.65,1.84166666666667,2.03333333333334,2.55,2.69166666666667,2.94166666666667,2.11666666666667,0.408333333333335,2.525,1.85833333333333,1.83333333333334
1215,1.475,1.66666666666667,1.83333333333333,2.375,2.51666666666667,2.74166666666667,1.93333333333334,0.258333333333336,2.35833333333334,1.68333333333334,1.65
1216,1.65,1.84166666666667,2.03333333333334,2.55,2.69166666666667,2.94166666666667,2.11666666666667,0.408333333333335,2.525,1.85833333333333,1.83333333333334
1217,1.475,1.66666666666667,1.83333333333333,2.375,2.51666666666667,2.74166666666667,1.93333333333334,0.258333333333336,2.35833333333334,1.68333333333334,1.65
1219,1.475,1.66666666666667,1.83333333333333,2.375,2.51666666666667,2.74166666666667,1.93333333333334,0.258333333333336,2.35833333333334,1.68333333333334,1.65
1762,3.26666666666667,3.4,3.51666666666667,4.14166666666667,4.30833333333334,4.39166666666667,3.66666666666667,2.00833333333334,4.05833333333334,3.40833333333334,3.48333333333334
1773,3.35,3.48333333333334,3.58333333333334,4.225,4.4,4.48333333333334,3.75,2.08333333333334,4.15,3.50833333333334,3.56666666666667
1784,3.35,3.48333333333334,3.58333333333334,4.225,4.4,4.48333333333334,3.75,2.08333333333334,4.15,3.50833333333334,3.56666666666667
1817,3.26666666666667,3.4,3.51666666666667,4.14166666666667,4.30833333333334,4.39166666666667,3.66666666666667,2.00833333333334,4.05833333333334,3.40833333333334,3.48333333333334
1884,3.11666666666667,3.23333333333333,3.34166666666667,3.95833333333334,4.15833333333334,4.25,3.50833333333334,1.83333333333334,3.88333333333334,3.24166666666667,3.33333333333334
915,3.6,3.75833333333334,3.875,4.49166666666667,4.66666666666667,4.775,4.03333333333334,2.35,4.40833333333333,3.78333333333333,3.84166666666667
970,3.31666666666667,3.45833333333334,3.55833333333334,4.175,4.31666666666667,4.46666666666667,3.725,2.03333333333334,4.1,3.46666666666667,3.54166666666667
981,3.225,3.35,3.46666666666667,4.09166666666667,4.275,4.375,3.63333333333334,1.94166666666667,4.01666666666667,3.38333333333334,3.46666666666667
992,3.225,3.35,3.46666666666667,4.09166666666667,4.275,4.375,3.63333333333334,1.94166666666667,4.01666666666667,3.38333333333334,3.46666666666667
1071,3.025,3.175,3.275,3.89166666666667,4.05833333333333,4.18333333333334,3.46666666666667,1.775,3.825,3.2,3.275
1829,4.29166666666667,4.44166666666667,4.55833333333334,5.175,5.33333333333334,5.43333333333334,4.7,3.025,5.075,4.45,4.51666666666667
1906,3.675,3.825,3.93333333333334,4.55833333333334,4.70833333333334,4.825,4.1,2.425,4.46666666666667,3.85,3.925
1940,3.38333333333334,3.55,3.64166666666667,4.275,4.43333333333334,4.54166666666667,3.80833333333334,2.13333333333334,4.175,3.54166666666667,3.625
1962,3.80833333333334,3.96666666666667,4.08333333333334,4.7,4.875,4.98333333333334,4.23333333333334,2.56666666666667,4.6,3.975,4.05000000000001
1973,3.80833333333334,3.96666666666667,4.08333333333334,4.7,4.875,4.98333333333334,4.23333333333334,2.56666666666667,4.6,3.975,4.05000000000001
1995,4.35833333333334,4.50833333333334,4.63333333333334,5.24166666666667,5.4,5.525,4.76666666666667,3.08333333333333,5.14166666666667,4.51666666666667,4.56666666666667
2006,4.14166666666667,4.28333333333334,4.41666666666667,5.025,5.175,5.30833333333334,4.55833333333333,2.88333333333334,4.94166666666667,4.3,4.36666666666667
2039,3.8,3.95,4.08333333333333,4.69166666666667,4.83333333333333,4.975,4.225,2.55,4.6,3.975,4.04166666666667
926,4.35833333333334,4.50833333333334,4.63333333333334,5.24166666666667,5.4,5.525,4.76666666666667,3.08333333333333,5.14166666666667,4.51666666666667,4.56666666666667
1004,3.75833333333334,3.90833333333334,4.04166666666667,4.64166666666667,4.8,4.94166666666667,4.18333333333334,2.51666666666667,4.55833333333334,3.925,4
1015,3.25,3.40833333333334,3.51666666666667,4.13333333333334,4.29166666666667,4.41666666666667,3.68333333333334,1.98333333333334,4.05,3.425,3.48333333333334
1026,3.55833333333334,3.725,3.83333333333334,4.45,4.59166666666667,4.725,3.99166666666667,2.29166666666667,4.35833333333334,3.74166666666667,3.8
1073,3.25833333333334,3.425,3.54166666666667,4.14166666666667,4.31666666666667,4.43333333333334,3.70833333333333,2,4.05833333333334,3.45,3.50833333333334
1076,3.10833333333334,3.25833333333334,3.375,3.98333333333333,4.125,4.25833333333334,3.525,1.83333333333334,3.9,3.25833333333334,3.325
1094,3.11666666666667,3.275,3.39166666666667,4.00833333333333,4.14166666666667,4.28333333333334,3.55,1.84166666666667,3.925,3.29166666666667,3.33333333333334
1095,3.11666666666667,3.275,3.39166666666667,4.00833333333333,4.14166666666667,4.28333333333334,3.55,1.84166666666667,3.925,3.29166666666667,3.33333333333334
1114,2.95,3.13333333333334,3.24166666666667,3.83333333333334,3.99166666666667,4.13333333333334,3.41666666666667,1.7,3.76666666666667,3.13333333333334,3.15
1168,2.5,2.68333333333334,2.85,3.40833333333334,3.53333333333334,3.75,2.975,1.25833333333334,3.34166666666667,2.69166666666667,2.65833333333334
1192,2.13333333333334,2.35,2.5,3.05833333333334,3.16666666666667,3.40833333333333,2.625,0.858333333333336,3,2.325,2.3
1224,1.925,2.15833333333334,2.3,2.81666666666667,2.95833333333334,3.21666666666667,2.425,0.633333333333336,2.80833333333334,2.11666666666667,2.1
1226,1.925,2.15833333333334,2.3,2.81666666666667,2.95833333333334,3.21666666666667,2.425,0.633333333333336,2.80833333333334,2.11666666666667,2.1
1234,1.83333333333334,2.03333333333334,2.19166666666667,2.70833333333334,2.85833333333334,3.1,2.3,0.525000000000003,2.70833333333334,2.03333333333334,1.975
1247,1.48333333333334,1.7,1.84166666666667,2.36666666666667,2.48333333333334,2.75,1.96666666666667,0.158333333333336,2.34166666666667,1.675,1.625
1249,1.61666666666667,1.83333333333334,1.96666666666667,2.51666666666667,2.65,2.90833333333333,2.08333333333334,0.325000000000004,2.49166666666667,1.81666666666667,1.775
1261,1.75833333333334,1.96666666666667,2.125,2.65,2.775,3.05833333333334,2.26666666666667,0.475000000000003,2.64166666666667,1.95,1.90833333333334
1264,1.56666666666667,1.79166666666667,1.95833333333334,2.45833333333334,2.59166666666667,2.86666666666667,2.05833333333334,0.26666666666667,2.45,1.76666666666667,1.73333333333334
1283,1.68333333333334,1.89166666666667,2.05,2.58333333333334,2.70833333333333,2.98333333333333,2.19166666666667,0.375000000000002,2.575,1.88333333333334,1.84166666666667
1293,1.65833333333334,1.86666666666667,2.025,2.54166666666667,2.69166666666667,2.975,2.15,0.341666666666669,2.54166666666667,1.875,1.80833333333334
1120,3.59166666666667,3.80833333333334,3.9,4.48333333333334,4.60833333333334,4.75833333333334,4.00833333333334,2.25,4.40833333333333,3.775,3.78333333333334
1121,3.59166666666667,3.80833333333334,3.9,4.48333333333334,4.60833333333334,4.75833333333334,4.00833333333334,2.25,4.40833333333333,3.775,3.78333333333334
1135,3.35833333333334,3.55833333333334,3.65,4.25833333333334,4.375,4.525,3.775,2.025,4.19166666666667,3.53333333333334,3.55833333333334
1139,3.2,3.4,3.5,4.09166666666667,4.21666666666667,4.375,3.625,1.84166666666667,4.025,3.39166666666667,3.4
1145,2.95833333333334,3.175,3.275,3.875,4,4.15,3.4,1.61666666666667,3.79166666666667,3.15,3.16666666666667
1147,2.95833333333334,3.175,3.275,3.875,4,4.15,3.4,1.61666666666667,3.79166666666667,3.15,3.16666666666667
1153,2.875,3.10833333333334,3.2,3.78333333333334,3.91666666666667,4.05,3.3,1.53333333333334,3.70833333333334,3.05833333333334,3.08333333333334
1155,2.875,3.1,3.19166666666667,3.775,3.90833333333334,4.04166666666667,3.30833333333334,1.525,3.7,3.05833333333334,3.08333333333334
1156,3.775,4.01666666666667,4.09166666666667,4.675,4.80833333333334,4.96666666666667,4.225,2.375,4.61666666666667,3.95833333333334,3.975
